[ 9.61840962e-08 -5.98531588e-08 -1.27718574e-03 -2.26345179e-02],[-5.98531588e-08  1.16239587e-07  1.29190879e-03  1.84485778e-02],[-1.27718574e-03  1.29190879e-03  2.51167485e+01  4.44711987e+02],[-2.26345179e-02  1.84485778e-02  4.44711987e+02  2.38313965e+04]
[ 2.14681280e-07 -1.03204220e-08 -3.23309543e-04 -4.51001445e-03],[-1.03204220e-08  1.61738678e-07  2.11514293e-04 -1.03327301e-03],[-3.23309543e-04  2.11514293e-04  3.06804012e+00  4.34356628e+00],[-4.51001445e-03 -1.03327301e-03  4.34356628e+00  1.93204214e+02]
[ 3.31434871e-07  2.15503504e-09 -2.37511854e-04 -3.30543715e-03],[ 2.15503504e-09  2.31566784e-07  5.24238292e-05 -5.57937467e-04],[-2.37511854e-04  5.24238292e-05  1.44717212e+00  1.41685396e+00],[-3.30543715e-03 -5.57937467e-04  1.41685396e+00  9.20517934e+01]
[ 4.20084489e-07  5.29743074e-09 -2.37933119e-04 -1.84857908e-03],[ 5.29743074e-09  1.61313802e-07  1.34934278e-05 -1.50514659e-04],[-2.37933119e-04  1.34934278e-05  1.20433497e+00  3.25664764e-03],[-1.84857908e-03 -1.50514659e-04  3.25664764e-03  5.84042585e+01]
[ 4.45802540e-07  5.81948190e-09 -2.34497287e-04 -2.72152804e-04],[ 5.81948190e-09  1.60353352e-07  6.53298976e-06 -3.47016378e-05],[-2.34497287e-04  6.53298976e-06  1.13035242e+00 -1.11745798e+00],[-2.72152804e-04 -3.47016378e-05 -1.11745798e+00  4.97655036e+01]
[ 4.04542171e-07  8.96395218e-09 -1.97996351e-04  1.78285488e-03],[ 8.96395218e-09  2.31676581e-07  1.14163570e-07  7.43728579e-05],[-1.97996351e-04  1.14163570e-07  1.05853060e+00 -1.78138623e+00],[ 1.78285488e-03  7.43728579e-05 -1.78138623e+00  5.30600883e+01]
[ 3.12252171e-07  5.66270669e-09 -1.35155559e-04  3.32779245e-03],[ 5.66270669e-09  1.61137999e-07 -1.52042077e-05  9.95553987e-05],[-1.35155559e-04 -1.52042077e-05  1.20773757e+00 -2.21804880e+00],[ 3.32779245e-03  9.95553987e-05 -2.21804880e+00  7.53449808e+01]
[ 2.49245351e-07  2.72949637e-09  1.56135175e-05  3.90857332e-03],[ 2.72949637e-09  1.61319930e-07 -9.46942863e-05  3.06724930e-04],[ 1.56135175e-05 -9.46942863e-05  2.44382664e+00  9.07855349e-02],[ 3.90857332e-03  3.06724930e-04  9.07855349e-02  1.00089991e+02]
[ 1.34178993e-07 -8.59811000e-09  2.48491707e-04  2.58109196e-03],[-8.59811000e-09  2.32639694e-07 -1.69880143e-04  1.05330949e-03],[ 2.48491707e-04 -1.69880143e-04  5.82249563e+00  5.65279061e+00],[ 2.58109196e-03  1.05330949e-03  5.65279061e+00  9.25383139e+01]
[ 6.34693374e-08 -1.96148049e-08  2.01068098e-04  1.03625962e-03],[-1.96148049e-08  1.60326814e-07 -5.14256700e-05  1.01303167e-03],[ 2.01068098e-04 -5.14256700e-05  7.82140902e+00  4.95285607e+00],[ 1.03625962e-03  1.01303167e-03  4.95285607e+00  6.08163551e+01]
