
"['2022-06-25T12:12:18.874359', 63.174270346189104]"
"['2022-06-18T16:19:06.089741', 68.83701012308907]","['2022-06-20T12:09:50.097871', 28.517880634479962]","['2022-06-22T12:48:23.581033', 38.28912714836965]","['2022-06-25T12:13:38.949175', 102.8907376040813]"
"['2022-06-21T06:48:22.071882', 54.23488086322252]","['2022-06-22T12:49:14.593681', 37.44552075780993]","['2022-06-23T13:10:08.681708', 38.43291273906019]","['2022-06-25T12:14:08.968288', 92.46455606791481]"
"['2022-06-18T11:16:48.739009', 39.251843518520396]","['2022-06-21T06:48:53.129320', 42.72388362160736]","['2022-06-22T12:49:35.614780', 34.1112146264501]","['2022-06-24T18:09:57.903500', 30.435504375348113]","['2022-06-25T12:14:32.908451', 61.892154852717624]"
"['2022-06-20T12:11:17.238433', 39.70009545417464]","['2022-06-23T12:10:23.295378', 30.85260213495905]","['2022-06-25T12:15:03.957115', 49.431790066506565]"
"['2022-06-25T12:15:31.006436', 41.921254679513666]"
"['2022-06-25T12:15:56.992343', 40.43612306735773]"




"['2022-06-21T06:52:15.194822', 30.266970247219188]","['2022-06-21T07:22:38.414093', 29.85334875697128]"




"['2022-06-18T15:49:04.873068', 67.33681150843762]"

"['2022-06-23T14:46:06.896892', 34.589960032756736]","['2022-06-26T12:16:42.742763', 36.47551659161343]"
"['2022-06-18T12:58:08.753164', 42.13437133841536]","['2022-06-19T16:50:31.622505', 36.19286346926294]","['2022-06-20T13:33:08.602645', 29.847185258295212]","['2022-06-23T08:40:26.331556', 29.048220215252062]","['2022-06-23T14:45:34.914169', 40.10634090778913]"
"['2022-06-19T13:16:13.748143', 36.782929071563046]","['2022-06-23T08:39:48.328991', 69.07638919701037]","['2022-06-24T07:03:16.613539', 41.97797589012187]"
"['2022-06-19T13:15:36.723283', 55.95594405695997]","['2022-06-22T09:33:34.008571', 35.46848184151392]","['2022-06-25T14:04:09.588422', 71.9758283594226]"
"['2022-06-24T07:02:06.563543', 85.61463865947566]","['2022-06-25T14:03:35.563472', 30.62457985780958]"
"['2022-06-21T07:10:31.030328', 30.28359602139313]"






"['2022-06-20T07:08:14.635650', 39.17787660590772]"
"['2022-06-20T07:07:46.695551', 31.87094226874177]"
"['2022-06-20T07:07:14.613400', 33.59126812834666]"
"['2022-06-20T07:06:46.613488', 32.56205846733378]"

"['2022-06-20T07:05:44.677367', 31.63931032504881]"
"['2022-06-24T17:21:08.741274', 34.50686919197956]"
