
"['2022-06-25T12:12:18.874359', 60.56284131706079]"
"['2022-06-18T16:19:06.089741', 75.2087971691198]","['2022-06-20T12:09:50.097871', 28.769248987842747]","['2022-06-22T12:48:23.581033', 38.6504958218295]","['2022-06-25T12:13:38.949175', 105.5978893306614]"
"['2022-06-21T06:48:22.071882', 57.23793492829708]","['2022-06-22T12:49:14.593681', 37.864491004837795]","['2022-06-23T13:10:08.681708', 41.52967399997586]","['2022-06-25T12:14:08.968288', 95.75010786771958]"
"['2022-06-18T11:16:48.739009', 43.1093513170578]","['2022-06-21T06:48:53.129320', 44.60499493499991]","['2022-06-22T12:49:35.614780', 35.598772656263975]","['2022-06-23T12:09:59.285348', 29.86472458075436]","['2022-06-24T18:09:57.903500', 33.277955988564855]","['2022-06-25T12:14:32.908451', 65.03092042592439]"
"['2022-06-20T12:11:17.238433', 42.147985906538516]","['2022-06-23T12:10:23.295378', 30.56564227232895]","['2022-06-25T12:15:03.957115', 52.03020781811388]"
"['2022-06-25T12:15:31.006436', 44.851732939641934]"
"['2022-06-25T12:15:56.992343', 42.6916427327884]"









"['2022-06-18T15:49:04.873068', 74.38465263043574]"

"['2022-06-23T14:46:06.896892', 36.11393904314929]","['2022-06-24T11:34:22.764447', 28.98470117709848]","['2022-06-26T12:16:42.742763', 38.37207794886231]"
"['2022-06-18T12:58:08.753164', 44.17433046906983]","['2022-06-19T16:50:31.622505', 39.68450856918835]","['2022-06-20T13:33:08.602645', 30.23596618400577]","['2022-06-23T14:45:34.914169', 39.17818474262014]"
"['2022-06-19T13:16:13.748143', 40.34478704013894]","['2022-06-23T08:39:48.328991', 64.92197061055828]","['2022-06-24T07:03:16.613539', 33.85024362402069]"
"['2022-06-19T13:15:36.723283', 59.55671041271136]","['2022-06-22T09:33:34.008571', 39.004641758142654]","['2022-06-25T14:04:09.588422', 71.44132859538072]"
"['2022-06-24T07:02:06.563543', 85.38176129198104]","['2022-06-25T14:03:35.563472', 29.59754798430715]"
"['2022-06-21T07:10:31.030328', 30.488686933340066]"
"['2022-06-23T08:38:08.260819', 29.38391035506924]"





"['2022-06-20T07:08:14.635650', 38.72560725157971]"
"['2022-06-20T07:07:46.695551', 30.082836492283214]"
"['2022-06-20T07:07:14.613400', 31.971946153021413]"
"['2022-06-20T07:06:46.613488', 34.185484636635884]"

"['2022-06-20T07:05:44.677367', 33.236627565740655]"
"['2022-06-24T17:21:08.741274', 35.50538447477368]"
