54.332929,10.153465,0.61116,74.279999,2022-04-20T05:08:01.949284
54.332929,10.153466,0.926,65.330002,2022-04-20T05:08:02.934890
54.332931,10.15347,1.27788,59.540001,2022-04-20T05:08:03.925182
54.332934,10.153476,1.88904,54.029999,2022-04-20T05:08:04.924762
54.332937,10.153483,2.35204,46.720001,2022-04-20T05:08:05.942591
54.332942,10.153491,2.9632,45.720001,2022-04-20T05:08:06.943740
54.332947,10.153503,3.48176,43.810001,2022-04-20T05:08:07.939871
54.332954,10.153515,3.9818,42.290001,2022-04-20T05:08:08.945812
54.332962,10.153526,4.4448,42.75,2022-04-20T05:08:09.940942
54.332972,10.153541,4.94484,41.68,2022-04-20T05:08:10.960723
54.332982,10.153555,5.40784,41.459999,2022-04-20T05:08:11.938870
54.332992,10.153573,5.81528,41.02,2022-04-20T05:08:12.952641
54.333004,10.15359,6.2042,40.759998,2022-04-20T05:08:13.937545
54.333016,10.153606,6.64868,40.52,2022-04-20T05:08:14.938950
54.333029,10.153625,6.96352,41.34,2022-04-20T05:08:15.953910
54.333042,10.153645,7.38948,41.349998,2022-04-20T05:08:16.949434
54.333056,10.153668,7.74136,42.23,2022-04-20T05:08:17.954064
54.333071,10.153691,8.09324,43.220001,2022-04-20T05:08:18.950256
54.333086,10.153715,8.4266,43.959999,2022-04-20T05:08:19.943408
54.333101,10.153741,8.75996,44.860001,2022-04-20T05:08:20.946556
54.333117,10.15377,9.0748,46.43,2022-04-20T05:08:21.959229
54.333134,10.153798,9.38964,47.119999,2022-04-20T05:08:22.964051
54.333149,10.153828,9.5378,48.209999,2022-04-20T05:08:23.955477
54.333166,10.153861,9.94524,49.25,2022-04-20T05:08:24.954851
54.333182,10.153893,10.24156,50.419998,2022-04-20T05:08:25.952542
54.333199,10.15393,10.3712,51.610001,2022-04-20T05:08:26.958092
54.333216,10.153966,10.70456,52.82,2022-04-20T05:08:27.967616
54.333231,10.154005,10.8342,54.139999,2022-04-20T05:08:28.965548
54.333247,10.154045,11.13052,55.860001,2022-04-20T05:08:29.970415
54.333262,10.154086,11.22312,56.900002,2022-04-20T05:08:30.979202
54.333277,10.154126,11.35276,58.459999,2022-04-20T05:08:31.963118
54.333292,10.15417,11.6676,59.889999,2022-04-20T05:08:32.976476
54.333307,10.154215,11.7602,61.349998,2022-04-20T05:08:33.975219
54.333321,10.15426,11.8528,62.84,2022-04-20T05:08:34.986227
54.333334,10.154306,12.00096,64.120003,2022-04-20T05:08:35.992746
54.333346,10.154353,12.1306,65.629997,2022-04-20T05:08:36.974257
54.333359,10.154401,12.24172,67.410004,2022-04-20T05:08:37.997994
54.333371,10.154451,12.37136,68.910004,2022-04-20T05:08:38.998698
54.333381,10.154501,12.501,70.07,2022-04-20T05:08:39.992569
54.333393,10.154553,12.61212,71.620003,2022-04-20T05:08:41.006474
54.333403,10.154605,12.72324,73.370003,2022-04-20T05:08:41.998764
54.333411,10.154658,12.83436,75.019997,2022-04-20T05:08:42.999478
54.333419,10.154713,12.92696,76.059998,2022-04-20T05:08:44.146984
54.333426,10.154768,13.01956,78.139999,2022-04-20T05:08:45.250613
54.333434,10.154823,13.11216,79.309998,2022-04-20T05:08:46.037175
54.333439,10.15488,13.20476,80.75,2022-04-20T05:08:47.001190
54.333444,10.154936,13.27884,82.169998,2022-04-20T05:08:47.996184
54.333448,10.154995,13.35292,83.870003,2022-04-20T05:08:48.969963
54.333451,10.155053,13.44552,85.0,2022-04-20T05:08:49.980672
54.333453,10.155111,13.50108,86.669998,2022-04-20T05:08:51.005826
54.333453,10.15517,13.57516,87.309998,2022-04-20T05:08:51.995329
54.333454,10.155228,13.6122,88.419998,2022-04-20T05:08:52.981468
54.333454,10.155288,14.1678,88.959999,2022-04-20T05:08:53.984277
54.333454,10.155346,12.90844,89.099998,2022-04-20T05:08:55.012331
54.333454,10.155403,13.83444,90.330002,2022-04-20T05:08:55.986390
54.333453,10.155465,14.79748,89.82,2022-04-20T05:08:56.988182
54.333453,10.155528,14.7234,90.800003,2022-04-20T05:08:58.022369
54.333451,10.155591,14.2604,93.059998,2022-04-20T05:08:58.995530
54.333449,10.155655,14.353,93.449997,2022-04-20T05:08:59.984515
54.333448,10.155718,14.0752,92.900002,2022-04-20T05:09:01.017973
54.333444,10.155781,14.14928,96.199997,2022-04-20T05:09:01.977103
54.333439,10.155843,14.57524,97.43,2022-04-20T05:09:03.001206
54.333436,10.155906,15.03824,95.110001,2022-04-20T05:09:04.033110
54.333433,10.15597,15.167879,95.959999,2022-04-20T05:09:04.993681
54.333428,10.156033,15.13084,96.330002,2022-04-20T05:09:05.981749
54.333424,10.156095,14.59376,96.75,2022-04-20T05:09:06.984878
54.333421,10.156158,14.70488,95.269997,2022-04-20T05:09:08.003253
54.333416,10.15622,14.74192,96.510002,2022-04-20T05:09:08.967711
54.333413,10.156283,15.33456,96.519997,2022-04-20T05:09:10.006445
54.333408,10.156346,15.316041,96.830002,2022-04-20T05:09:11.002417
54.333404,10.15641,15.019719,96.849998,2022-04-20T05:09:12.016571
54.333403,10.156471,15.075281,96.25,2022-04-20T05:09:13.016476
54.333399,10.156535,15.05676,95.870003,2022-04-20T05:09:13.992391
54.333394,10.156595,15.149361,96.5,2022-04-20T05:09:15.010523
54.333389,10.156655,15.167879,96.639999,2022-04-20T05:09:16.001406
54.333386,10.15672,15.20492,96.459999,2022-04-20T05:09:17.001624
54.333383,10.156783,15.22344,96.360001,2022-04-20T05:09:18.015634
54.333379,10.156848,15.26048,96.209999,2022-04-20T05:09:19.002316
