"[-0.9999999148488028, -0.9999999693572357, -0.9998917188104747, -1.0016751676170588]","[-0.9999999693572357, -0.9999994333354867, -0.9990370072713352, -0.995700111662868]","[-0.9998917188104747, -0.9990370072713352, 6.104731587216524, 20.770794177167005]","[-1.0016751676170588, -0.995700111662868, 20.770794177167005, 322.94720632356984]"
"[-0.9999997521836574, -1.0000001062551067, -0.9998572250127796, -0.9983434498641687]","[-1.0000001062551067, -0.9999984092541739, -1.0001342331000047, -1.0015830491981772]","[-0.9998572250127796, -1.0001342331000047, 1.144446937050437, 5.46685607662209]","[-0.9983434498641687, -1.0015830491981772, 5.46685607662209, 90.03377131302976]"
"[-0.999999918475318, -1.0000001807618104, -0.9998349126750037, -1.0012332567033502]","[-1.0000001807618104, -0.9999994220265436, -1.0008011550479732, -0.9955875745546192]","[-0.9998349126750037, -1.0008011550479732, 5.464833773213486, -4.234742361574446]","[-1.0012332567033502, -0.9955875745546192, -4.234742361574446, 82.76616454543715]"
"[-0.9999999593081004, -1.0000002033824216, -1.000036192625391, -1.0004317563926837]","[-1.0000002033824216, -0.9999988162663563, -0.9997039422074762, -0.9960237292240405]","[-1.000036192625391, -0.9997039422074762, -0.41621944969006774, 1.2827135303798483]","[-1.0004317563926837, -0.9960237292240405, 1.2827135303798483, 38.49279396533213]"
"[-0.999999994670059, -1.0000000275735696, -0.9999473819959004, -0.9997224448112426]","[-1.0000000275735696, -0.9999997914601393, -1.0006239624935387, -1.0025468986169839]","[-0.9999473819959004, -1.0006239624935387, 3.3380753167873953, 18.22032956258863]","[-0.9997224448112426, -1.0025468986169839, 18.22032956258863, 366.7520248782559]"
