"[-0.9999999986194167, -1.0000000039618577, -1.0000762778110182, -1.0004372393653707]","[-1.0000000039618577, -0.9999999792975266, -0.999664051674549, -0.9996735622708939]","[-1.0000762778110182, -0.999664051674549, 7.2283707964649935, 24.58093424074398]","[-1.0004372393653707, -0.9996735622708939, 24.58093424074398, 1368.4452877490287]"
"[-0.9999999937163001, -1.0000000224575283, -1.0000664562102608, -1.0005067161074856]","[-1.0000000224575283, -0.9999998859380209, -0.9997389215604124, -0.998613149682022]","[-1.0000664562102608, -0.9997389215604124, 1.1539432873629156, 11.755143278369895]","[-1.0005067161074856, -0.998613149682022, 11.755143278369895, 230.04180244468384]"
"[-0.9999999922045277, -1.0000000238833864, -0.9999729945426915, -1.0001046274149177]","[-1.0000000238833864, -0.9999998408410917, -1.0001000014191481, -0.9999679880499838]","[-0.9999729945426915, -1.0001000014191481, -0.26302025423083175, -1.067888106156267]","[-1.0001046274149177, -0.9999679880499838, -1.067888106156267, 53.451205934967696]"
"[-0.9999999968793274, -1.0000000036027512, -0.9999645994425967, -0.9999185706250441]","[-1.0000000036027512, -0.9999999633853558, -0.9999204520658429, -1.0011654269952517]","[-0.9999645994425967, -0.9999204520658429, 7.985060105156375, 0.9294214857791889]","[-0.9999185706250441, -1.0011654269952517, 0.9294214857791889, 6978.73140575705]"
"[-0.9999999979061045, -1.0000000090654704, -1.0000010211878494, -1.000575801313862]","[-1.0000000090654704, -0.9999999394133942, -0.999984486751629, -0.9930800465169923]","[-1.0000010211878494, -0.999984486751629, -0.6370433411117992, 16.466069885984226]","[-1.000575801313862, -0.9930800465169923, 16.466069885984226, 7521.624712370216]"
