"[-0.99999999853429, -1.0000000041046428, -1.0000790216957671, -1.000491584955316]","[-1.0000000041046428, -0.9999999782473391, -0.9996506385929258, -0.9996406017061252]","[-1.0000790216957671, -0.9996506385929258, 7.581296719176608, 27.610650512711572]","[-1.000491584955316, -0.9996406017061252, 27.610650512711572, 1578.1744308305742]"
"[-0.9999999931483385, -1.0000000240640659, -1.0000727211823428, -1.0005680815904607]","[-1.0000000240640659, -0.9999998813103618, -0.9997209446083529, -0.9984301949442759]","[-1.0000727211823428, -0.9997209446083529, 1.3284909260788544, 13.231653563777378]","[-1.0005680815904607, -0.9984301949442759, 13.231653563777378, 258.26137313901114]"
"[-0.999999991515065, -1.0000000258484267, -0.9999690183735834, -1.0001114789514656]","[-1.0000000258484267, -0.9999998419649772, -1.0001188171550444, -0.9998492718622101]","[-0.9999690183735834, -1.0001188171550444, -0.17299365156290403, -1.0094415077910026]","[-1.0001114789514656, -0.9998492718622101, -1.0094415077910026, 59.434711626237714]"
"[-0.9999999966559755, -1.0000000044536708, -0.9999612873220906, -0.9998107613312358]","[-1.0000000044536708, -0.9999999602966763, -0.9998770649084918, -1.0007838554024118]","[-0.9999612873220906, -0.9998770649084918, 8.146275726277453, -19.621956257837486]","[-0.9998107613312358, -1.0007838554024118, -19.621956257837486, 6153.77908347892]"
"[-0.9999999976869498, -1.0000000099912303, -1.0000010359076854, -1.0005428131515528]","[-1.0000000099912303, -0.9999999361487566, -0.9999844212096323, -0.9932256449408929]","[-1.0000010359076854, -0.9999844212096323, -0.6096676012462432, 15.538471276183433]","[-1.0005428131515528, -0.9932256449408929, 15.538471276183433, 7227.881859914856]"
